Sample ID	Condition	delta_PPD
C001	Control	-238.4
C002	Control	-91.2
C003	Control	-559.15
C004	Control	12.6
C005	Control	-254.15
C006	Control	-277.7
C007	Control	-611.7
C008	Control	-32.35
C009	Control	-811.85
C010	Control	-565.25
C011	Control	-238.4
C012	Control	-91.2
C013	Control	-559.15
C014	Control	12.6
C015	Control	-254.15
C016	Control	-277.7
C017	Control	-611.7
C018	Control	-32.35
C019	Control	-811.85
C020	Control	-565.25
C021	Control	-96.7
C022	Control	-505.6
C023	Control	-1881.7
C024	Control	-629.5
C025	Control	-412
C026	Control	-1098.45
C027	Control	-342.8
C028	Control	-278.45
C029	Control	-161.35
C030	Control	-96.7
C031	Control	-1060.85
C033	Control	-1817.75
C034	Control	-94.1
C035	Control	-363.1
C036	Control	-1293.95
C037	Control	-770.85
C038	Control	37.25
C039	Control	74
C040	Control	-244
C041	Control	-20.85
C042	Control	-32.35
C043	Control	-3
C044	Control	-36
C045	Control	-101.05
C046	Control	-1006.65
C047	Control	-505.95
C048	Control	-107.25
C049	Control	-523
C050	Control	263.1
C051	Control	-20.2
C052	Control	-52.7
C053	Control	-71.8
C054	Control	-281.8
C055	Control	-115.55
C056	Control	-108.75
C057	Control	-1270.4
C058	Control	-180.95
C059	Control	5.35
C060	Control	2.1
C061	Control	21.25
C062	Control	-21.55
C063	Control	-265.1
C064	Control	-381.1
T001	Infected	931.1
T002	Infected	1981.1
T003	Infected	1767.3
T004	Infected	401.55
T005	Infected	780.35
T006	Infected	1480.45
T007	Infected	36
T008	Infected	683.4
T009	Infected	703.2
T010	Infected	1743.45
T011	Infected	777.25
T013	Infected	1377.1
T014	Infected	2772.4
T015	Infected	1028.3
T016	Infected	2007.9
T017	Infected	1629
T018	Infected	1595.65
T019	Infected	697.7
T020	Infected	1543.8
T022	Infected	1249.85
T023	Infected	1051.5
T024	Infected	2435.4
T026	Infected	1229.15
T028	Infected	1214.7
T029	Infected	389.8
T030	Infected	1718.65
T031	Infected	275.75
T032	Infected	2139.75
T033	Infected	896.25
T034	Infected	490.1
T035	Infected	539.95
T036	Infected	396.3
T037	Infected	1214.1
T038	Infected	428.85
T039	Infected	609.55
T040	Infected	1639.8
T041	Infected	1032
T042	Infected	933.9
T043	Infected	1593.6
T044	Infected	2048.45
T045	Infected	1352.6
T046	Infected	738.8
T047	Infected	1770.9
T048	Infected	882.4
T049	Infected	1555.3
T050	Infected	1502.9
T051	Infected	2035.35
T052	Infected	1289.6
T053	Infected	386.6
T054	Infected	449
T055	Infected	1972.2
T056	Infected	539.7
T057	Infected	1482.1
T058	Infected	1816.95
T059	Infected	828.4
T060	Infected	157.65
T061	Infected	205.95
T062	Infected	-52.3
T063	Infected	2082.05
T064	Infected	1760.2
