Sample	Condition	Age	Batch	Admixture_Component_1	Admixture_Component_2	Geno_PC1	Geno_PC2	Holstein%
C001	Control	18	1	0.927389	0.07261	0.130258	-0.169238	90.63
C002	Control	22	2	0.99999	0.00001	0.152233	-0.162799	84.38
C003	Control	23	1	0.590744	0.40926	0.0389806	-0.0539594	87.50
C004	Control	22	1	0.655212	0.34479	0.0569745	-0.0457253	90.63
C005	Control	23	1	0.967563	0.03244	0.139566	-0.151058	93.75
C006	Control	22	2	0.99999	0.00001	0.153098	-0.17819	90.63
C007	Control	22	1	0.99999	0.00001	0.153137	-0.174771	84.38
C008	Control	24	1	0.899295	0.10071	0.122592	-0.180692	87.50
C009	Control	24	2	0.99999	0.00001	0.146221	-0.181211	96.88
C010	Control	22	2	0.970828	0.02917	0.138116	-0.17377	90.63
C011	Control	30	1	0.99999	0.00001	0.166873	0.191439	81.25
C012	Control	26	2	0.99999	0.00001	0.163635	0.173607	78.13
C013	Control	17	1	0.99999	0.00001	0.169378	0.188401	71.88
C014	Control	27	2	0.904426	0.09557	0.138493	0.20479	68.75
C015	Control	26	1	0.748886	0.25111	0.0848905	-0.0233143	75.00
C016	Control	19	1	0.799815	0.20019	0.0966492	-0.0635012	87.50
C017	Control	17	1	0.555214	0.44479	0.0305913	0.0269185	81.25
C018	Control	30	1	0.80894	0.19106	0.099948	-0.0300725	78.13
C019	Control	25	2	0.99999	0.00001	0.161992	0.184838	78.13
C020	Control	25	1	0.936957	0.06304	0.141566	0.174497	75.00
C021	Control	19	1	0.638397	0.36160	0.0559867	0.056787	78.13
C022	Control	17	2	0.706521	0.29348	0.0729962	-0.0142857	90.63
C023	Control	31	1	0.979517	0.02048	0.152432	0.179353	68.75
C024	Control	25	1	0.973824	0.02618	0.151541	0.205327	78.13
C025	Control	19	2	0.729913	0.27009	0.0783287	-0.00344616	68.75
C026	Control	31	1	0.99999	0.00001	0.168015	0.212368	78.13
C027	Control	19	1	0.727366	0.27263	0.0782507	-0.0223358	84.38
C028	Control	23	1	0.884714	0.11529	0.130354	0.198084	
C029	Control	26	2	0.748432	0.25157	0.0827345	-0.041277	68.75
C030	Control	25	1	0.635991	0.36401	0.0522669	-0.0288641	87.50
C031	Control	24	2	0.379319	0.62068	-0.0261951	-0.0337299	50.00
C033	Control	19	2	0.75729	0.24271	0.0891116	0.0453694	78.13
C034	Control	17	2	0.598072	0.40193	0.0421039	-0.0166121	93.75
C035	Control	29	2	0.7254	0.27460	0.0765219	-0.00205301	75.00
C036	Control	17	2	0.660789	0.33921	0.0612439	-0.00374023	90.63
C037	Control	32	2	0.630673	0.36933	0.0518852	-0.0353781	
C038	Control	32	2	0.722265	0.27774	0.0763039	-0.0323509	
C039	Control	30	2	0.711512	0.28849	0.0733984	-0.0168515	
C040	Control	32	2	0.672405	0.32760	0.0635711	-0.047088	
C041	Control	28	2	0.702155	0.29785	0.0706079	-0.0584613	
C042	Control	25	2	0.767973	0.23203	0.0861559	-0.0750344	
C043	Control	25	2	0.80338	0.19662	0.0950152	-0.0720582	
C044	Control	23	2	0.771393	0.22861	0.0878811	-0.084184	
C045	Control	10	2	0.168172	0.83183	-0.0921737	0.0530936	28.13
C046	Control	11	2	0.132676	0.86732	-0.10188	0.0764776	34.38
C047	Control	11	2	0.235015	0.76499	-0.0709577	0.040993	46.88
C048	Control	10	2	0.008989	0.99101	-0.14018	0.0345726	0.00
C049	Control	9	2	0.09105	0.90895	-0.117081	0.0630247	46.88
C050	Control	10	2	0.246764	0.75324	-0.0679628	0.103791	46.88
C051	Control	10	2	0.264054	0.73595	-0.0629902	0.0672756	34.38
C052	Control	10	2	0.034048	0.96595	-0.133386	0.0534888	31.25
C053	Control	9	2	0.100598	0.89940	-0.11441	0.047917	40.63
C054	Control	10	2	0.136356	0.86364	-0.102457	0.076773	46.88
C055	Control	10	2	0.205028	0.79497	-0.0794451	0.0522022	40.63
C056	Control	10	2	0.235329	0.76467	-0.0722132	0.0538439	40.63
C057	Control	10	2	0.243169	0.75683	-0.0697369	0.0500782	50.00
C058	Control	10	2	0.20234	0.79766	-0.0808372	0.0544658	43.75
C059	Control	10	2	0.199636	0.80036	-0.0826785	0.0518849	43.75
C060	Control	9	2	0.196326	0.80367	-0.0829954	0.0817259	46.88
C061	Control	10	2	0.218775	0.78123	-0.0764263	0.0361167	46.88
C062	Control	10	2	0.094908	0.90509	-0.116641	0.0506902	15.63
C063	Control	20	2	0.780291	0.21971	0.089519	-0.0860464	
C064	Control	23	2	0.59439	0.40561	0.0422119	0.0364127	
T001	Infected	25	1	0.243837	0.75616	-0.0644501	-0.142685	21.88
T002	Infected	25	1	0.333853	0.66615	-0.0393765	-0.0119839	25.00
T003	Infected	25	1	0.246746	0.75325	-0.0626016	-0.148627	43.75
T004	Infected	23	2	0.323024	0.67698	-0.0392447	-0.160131	34.38
T005	Infected	26	2	0.513592	0.48641	0.0176446	0.0315914	28.13
