Sample	Condition	Age	Batch	Admixture_Component_1	Admixture_Component_2	Geno_PC1	Geno_PC2	Holstein_percentage
C001	Control	18	1	0.927389	0.07261	0.13026	-0.16924	90.63
C002	Control	22	2	0.99999	0.00001	0.15223	-0.16280	84.38
C003	Control	23	1	0.590744	0.40926	0.03898	-0.05396	87.50
C004	Control	22	1	0.655212	0.34479	0.05697	-0.04573	90.63
C005	Control	23	1	0.967563	0.03244	0.13957	-0.15106	93.75
C006	Control	22	2	0.99999	0.00001	0.15310	-0.17819	90.63
C007	Control	22	1	0.99999	0.00001	0.15314	-0.17477	84.38
C008	Control	24	1	0.899295	0.10071	0.12259	-0.18069	87.50
C009	Control	24	2	0.99999	0.00001	0.14622	-0.18121	96.88
C010	Control	22	2	0.970828	0.02917	0.13812	-0.17377	90.63
C011	Control	30	1	0.99999	0.00001	0.16687	0.19144	81.25
C012	Control	26	2	0.99999	0.00001	0.16364	0.17361	78.13
C013	Control	17	1	0.99999	0.00001	0.16938	0.18840	71.88
C014	Control	27	2	0.904426	0.09557	0.13849	0.20479	68.75
C015	Control	26	1	0.748886	0.25111	0.08489	-0.02331	75.00
C016	Control	19	1	0.799815	0.20019	0.09665	-0.06350	87.50
C017	Control	17	1	0.555214	0.44479	0.03059	0.02692	81.25
C018	Control	30	1	0.80894	0.19106	0.09995	-0.03007	78.13
C019	Control	25	2	0.99999	0.00001	0.16199	0.18484	78.13
C020	Control	25	1	0.936957	0.06304	0.14157	0.17450	75.00
C021	Control	19	1	0.638397	0.36160	0.05599	0.05679	78.13
C022	Control	17	2	0.706521	0.29348	0.07300	-0.01429	90.63
C023	Control	31	1	0.979517	0.02048	0.15243	0.17935	68.75
C024	Control	25	1	0.973824	0.02618	0.15154	0.20533	78.13
C025	Control	19	2	0.729913	0.27009	0.07833	-0.00345	68.75
C026	Control	31	1	0.99999	0.00001	0.16802	0.21237	78.13
C027	Control	19	1	0.727366	0.27263	0.07825	-0.02234	84.38
C028	Control	23	1	0.884714	0.11529	0.13035	0.19808	
C029	Control	26	2	0.748432	0.25157	0.08273	-0.04128	68.75
C030	Control	25	1	0.635991	0.36401	0.05227	-0.02886	87.50
C031	Control	24	2	0.379319	0.62068	-0.02620	-0.03373	50.00
C033	Control	19	2	0.75729	0.24271	0.08911	0.04537	78.13
C034	Control	17	2	0.598072	0.40193	0.04210	-0.01661	93.75
C035	Control	29	2	0.7254	0.27460	0.07652	-0.00205	75.00
C036	Control	17	2	0.660789	0.33921	0.06124	-0.00374	90.63
C037	Control	32	2	0.630673	0.36933	0.05189	-0.03538	
C038	Control	32	2	0.722265	0.27774	0.07630	-0.03235	
C039	Control	30	2	0.711512	0.28849	0.07340	-0.01685	
C040	Control	32	2	0.672405	0.32760	0.06357	-0.04709	
C041	Control	28	2	0.702155	0.29785	0.07061	-0.05846	
C042	Control	25	2	0.767973	0.23203	0.08616	-0.07503	
