#chr	start	end	id	gid	strd	C001	C002	C003	C004	C005	C006	C007	C008	C009	C010	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	T001	T002	T003	T004	T005	T006	T007	T008	T009	T010	T011	T013	T014	T015	T016	T017	T018	T019	T020	T022	T023	T024	T026	T028	T029	T030	T031	T032	T033	T034	T035	T036	T037	T038	T039	T040	T041	T042	T043	T044	T045	T046	T047	T048	T049	T050	T051	T052	T053	T054	T055	T056	T057	T058	T059	T060	T061	T062	T063	T064
1	882080	882081	NA	ENSBTAG00000020035	NA	-0.276201	-0.407105	-0.289692	-0.936354	0.353847	0.502665	-0.495201	0.196341	-0.515778	-0.702737	0.616801	0.848022	-0.429722	-0.420525	-0.419086	0.340627	-0.649217	-0.705993	0.208439	0.642192	-0.905453	0.184241	-0.471655	0.833521	0.58939	-0.290765	1.01048	-0.456095	-0.552207	0.282414	0.202459	0.67472	1.12924	-0.443929	-0.0805397	0.531199	0.547841	-0.358585	-0.64634	0.478436	-0.449186	0.00182759	-0.465901	-0.354666	-0.320366	-0.0438958	0.434295	0.975177	-0.0527796	-0.973098	-0.0829666	0.0629886	-1.00372	-0.116092	0.582079	0.115494	-0.0143073	0.349584	-0.0612663	0.662016	0.937526	-0.0888713	0.186424	0.203544	1.29979	-0.124866	0.0217057	-0.0934194	-0.517663	0.920246	0.99035	-0.604637	-1.50276	-0.854314	0.283242	-0.055768	1.22678	-0.556709	-0.559269	-1.45317	-0.260602	1.51987	-0.907835	-0.174495	-1.57801	-0.104925	1.1796	-0.00265154	0.00649592	0.000374764	0.01038	0.73089	0.00795345	-0.407751	0.0742006	0.550644	-0.0658261	-0.226441	-0.0516271	0.215434	0.805663	0.254916	0.975133	0.262619	0.352446	0.144297	-0.188819	-0.285179	-0.554234	0.783726	0.32038	0.0687383	-0.191071	-0.35535	0.0563005	0.4536	1.08922	-0.557094	-0.590781	-0.485903	0.0919338	-0.965922	-0.623386
1	1100144	1100145	NA	ENSBTAG00000013841	NA	0.670075	0.745369	-0.624772	-0.77877	-0.0243084	0.942616	-0.245688	-0.0463857	-0.818524	-0.061534	-1.25215	0.562667	-0.7382	0.916332	-0.368743	-0.503987	-0.248417	1.02528	0.308523	-0.405968	0.519142	-0.0307448	-0.366944	-0.0231442	0.213656	0.371706	0.9972	0.517476	-0.445218	1.66705	-1.0072	0.289906	-0.793299	1.18557	-0.263889	-1.46105	-0.201959	0.794273	0.0527172	-1.07779	-1.03941	0.206206	-0.976904	-0.853674	-0.866998	-0.819629	0.274774	0.253538	1.18586	-0.898796	-1.05028	0.642477	-0.448201	1.63893	0.400745	1.70579	0.192069	-1.20589	-0.471972	1.55377	-0.349179	0.825262	0.110633	0.303918	-0.311686	0.385361	0.788608	0.0546406	0.126837	0.185165	0.258367	-0.948472	-1.06272	-0.607792	1.73873	-1.16969	0.395223	0.33735	1.13425	-0.838086	-0.215322	1.16522	-1.45081	0.20647	0.296526	0.848023	0.594833	-1.13246	-0.819588	-0.631884	-0.427738	-0.0736734	0.122485	-1.16449	-0.00737452	1.94839	2.18939	-0.544417	-1.1863	1.07614	0.00574217	-0.678279	0.345904	-0.423475	-0.190743	0.03437	-0.38646	-0.617502	1.07666	0.0327846	0.312027	-0.866631	0.129175	0.939527	0.572637	-1.67614	-0.257579	-0.154714	-0.579128	0.296326	0.921486	-0.53381	0.134391
1	1118311	1118312	NA	ENSBTAG00000011528	NA	-0.370207	-0.29702	-0.77444	-0.678265	0.625303	1.21086	0.306749	0.293424	-0.549384	-0.863758	0.190312	0.246909	-0.174951	-0.983146	-0.47187	1.05759	0.197251	-1.06592	1.41085	-0.76289	-0.366893	-1.05765	-1.04859	0.68626	0.636807	-0.0933976	0.32092	0.285307	-0.397462	-0.686633	-0.611835	-0.100776	1.01915	0.369093	-0.774374	1.55453	0.405548	0.00773999	-0.280369	0.393538	-0.402983	0.295219	-1.30228	-1.14039	0.486867	0.872635	0.290507	0.432574	0.316072	-0.818742	-0.891454	0.66797	0.408075	0.238141	-0.0640898	0.394112	0.320015	0.347641	0.909889	0.562455	-0.688724	-0.447484	0.405668	-0.0177561	-0.197845	0.120703	0.00292875	-1.12349	-0.146064	-0.316786	0.225684	0.502682	-0.175951	0.249242	0.507134	-0.555965	-0.623701	0.885	0.222062	-0.72881	0.598061	-0.990257	0.577618	0.799321	-1.1408	0.185045	0.631446	0.108973	-0.841078	-0.166811	-0.874477	0.738873	0.0228954	1.01791	-0.223827	-0.230051	0.948766	-0.23096	0.499003	0.0274499	-0.220394	-1.13589	0.503291	1.87114	-0.798203	-0.182549	-1.61722	-1.61307	-0.671257	-0.555248	0.0392177	0.0728342	1.64238	2.49158	0.293116	0.970295	0.487429	-0.286866	0.170597	-0.422242	-0.0176905	-0.628784	-0.678636
1	1379968	1379969	NA	ENSBTAG00000054497	NA	0.513219	-0.48978	1.12835	0.660685	-0.568208	0.207742	0.17801	0.599005	-0.22913	-0.628132	-0.260361	0.832752	-0.633626	0.890963	-1.48871	-0.649401	1.1253	0.587112	1.38508	-0.428585	-0.450138	0.850157	-0.915427	0.260652	0.53665	0.28877	0.894446	-0.282758	0.140422	-1.02165	-0.942845	-1.50178	-0.0437618	0.0193477	0.82222	1.02457	0.0861709	-0.662137	0.664372	0.432183	0.785087	-0.908408	-1.13701	1.31398	0.0974248	1.79863	-0.627672	-2.10646	-0.336295	-0.691689	0.372819	-1.72377	-1.55634	-1.07339	1.09384	0.0867344	1.07341	0.390887	-0.747407	0.566807	0.592816	0.0506064	-0.246343	0.156173	-0.627223	0.106283	-0.45407	0.710817	0.124404	0.545789	-0.675744	0.13046	-1.14271	0.147223	-0.784685	-1.56449	1.4768	-0.380715	0.177771	1.12758	-0.0118554	2.05932	0.697604	-1.57862	-0.415748	-0.697635	-0.720532	0.593401	0.662706	-0.401657	2.37278	-0.59935	-0.634131	-0.0452485	-0.855016	-0.0309322	-0.0234176	0.828495	-1.13133	0.180633	1.29087	0.175604	0.468131	0.448492	0.770412	-0.447748	2.1207	-0.401005	-1.80417	0.661432	0.389098	-0.885186	-0.2137	0.294203	-0.501369	-0.342665	-0.549835	0.630207	0.436856	0.0620165	-0.356739	-1.7452	0.176465
1	1455218	1455219	NA	ENSBTAG00000012594	NA	0.0860638	0.701702	0.316474	0.00690319	0.617314	0.303175	-0.0058826	-0.39671	0.296581	-1.01496	-0.108513	-0.854452	0.0558266	-0.217668	-0.680797	0.931049	-0.959131	-0.563348	1.28637	0.545227	-1.62745	-0.559666	-0.491894	0.861913	-0.36878	1.15479	0.962664	0.144421	-0.328395	0.0821762	0.555795	-0.406711	0.852899	0.824869	-1.02662	1.28129	-0.384311	-0.541374	0.777036	-0.615214	1.05791	-0.431364	-1.00797	0.0594544	1.04301	0.293108	-1.1798	-0.263265	-0.627506	0.124921	-0.135414	0.474326	-0.207798	0.576971	-0.63668	-0.14606	1.27799	-1.52798	0.581988	0.59979	-0.487694	-0.12429	-0.806327	-0.0888268	-0.829829	-0.211207	-0.0499746	-1.01584	1.0084	0.562565	0.247372	-0.87944	-1.22162	0.460973	0.784441	-0.447994	-0.616315	0.0633764	0.37934	2.36792	-0.171361	-0.78791	0.545537	-0.313671	-1.21555	0.0292013	-0.571342	0.108494	-0.603486	-0.639376	-0.244298	-0.466146	-0.594175	0.701924	1.12237	-0.521416	0.386118	1.5094	-0.714627	0.200996	0.0472054	-1.22372	0.260309	0.309323	0.141382	-0.123645	-0.387259	-0.0045308	-0.188723	-0.548068	0.017893	0.816059	-0.434766	0.909482	0.534441	-0.62071	0.434683	0.712723	0.0968416	1.22018	-0.026823	-0.308175	0.091875
1	1643627	1643628	NA	ENSBTAG00000018278	NA	0.148786	0.0111075	-0.237348	-0.238316	-0.354227	0.272933	-0.395788	0.846931	-0.0343	-0.291022	-0.105701	0.511114	0.641347	-0.111202	-0.00147363	-0.543488	0.302855	0.204341	0.245058	-0.0897744	-0.0205351	-0.238096	-0.0828489	-0.147599	-0.266349	-0.435511	0.316002	-0.401037	0.288528	0.214671	0.468817	-0.111887	-0.137275	-0.287931	-0.0421798	-0.571919	-0.123459	0.0393083	-0.0394478	-0.325369	0.371215	0.019227	-0.307942	0.238645	0.347751	0.43331	0.254398	-0.575336	0.264434	-0.398205	0.376787	-0.126871	0.0584085	0.0102495	0.238952	0.0321183	0.400951	-0.157568	-0.283005	0.0106663	-0.231893	-0.486447	0.63244	-0.124287	-0.0786737	0.449597	0.010529	-0.0076376	-0.34926	0.588411	0.191507	0.0885051	-0.238426	0.079982	-0.33009	0.390695	0.243769	0.173144	-0.0406952	-0.220918	-0.0909579	0.275664	0.144621	0.218438	0.255174	0.0966399	-0.0906433	0.172237	0.0384167	0.512007	-0.458321	0.117979	-0.0212842	0.514129	-0.0889681	-0.0980315	-0.626002	-0.0741817	-0.39233	-0.348083	0.524208	-0.233494	-0.504342	-0.54372	0.0607049	0.692601	0.641253	-0.556736	-0.550001	-0.140082	-0.0162188	-0.167948	0.114744	-0.0159887	0.433865	-0.204375	-0.642745	0.893663	0.374574	-0.375756	-0.401591	0.0995866	-0.364857
1	1908787	1908788	NA	ENSBTAG00000021997	NA	0.692543	-0.062274	-0.0434171	0.550312	-0.167486	0.571543	-0.413964	0.0956597	0.268766	0.262762	0.0724541	-0.0550641	1.28977	-0.147187	0.209155	-0.178702	-0.31613	0.236905	-0.168629	-0.293125	-0.379498	0.0177416	-0.129209	-0.452592	0.358717	0.372434	-0.269185	0.0677384	0.163388	-0.321032	-0.18789	-0.0400639	-0.56782	0.325491	-0.0972534	-0.31611	0.112075	-0.23487	-0.339559	-0.690412	0.115445	0.197735	0.025929	-0.229917	-0.405427	-0.0284324	0.392558	0.381748	-0.180801	0.117718	0.440141	-0.144964	-0.415229	-0.420479	-0.216035	-0.0402331	-0.228264	-0.0215174	0.395003	0.639469	0.277008	-0.578211	0.130776	0.125341	-0.972215	0.245121	-0.0539398	-0.0167875	0.223851	-0.35222	-0.0109241	-0.0694336	0.294739	-0.531776	-0.0479669	-0.391098	-0.788841	0.16729	0.462175	0.330099	0.594467	-0.152647	-0.227861	-0.26912	-0.173069	0.152302	0.103296	0.436683	-0.412259	-0.322586	-0.111937	-0.206344	1.0205	0.230166	0.0832077	-0.235307	-0.0392816	0.040126	-0.531388	0.51676	-0.465603	-0.518075	0.267335	0.129509	0.280941	-0.313526	0.261858	-0.010374	-0.0357441	-0.528088	0.442327	0.225685	0.0742246	-0.0207085	-0.789911	0.5563	0.71448	-0.000167982	0.49266	0.641687	-0.473759	0.0279522	-0.0681319
1	1909497	1909498	NA	ENSBTAG00000008490	NA	0.0708205	0.299866	0.0647677	-0.42462	0.052745	-0.0608086	-0.267044	-0.140522	-0.0264137	0.00519474	0.505237	-0.491237	-0.227526	-0.622446	-0.568204	0.312788	0.594745	0.0331234	0.0143513	0.813685	-1.27418	-0.366434	-0.0417774	-0.100453	0.0320451	0.578723	-0.472908	-0.0344183	0.577895	-0.297774	0.175766	0.162732	-0.493716	0.543783	0.209334	0.0554673	0.741391	0.520525	0.167363	-0.458735	0.417337	-0.067188	0.123604	0.541982	-0.648045	-0.209394	-0.138624	0.561238	-0.376454	-0.437177	0.102446	-0.80509	-0.0819426	0.132105	0.176249	-0.0691665	0.207636	0.0472209	0.0402329	0.161149	0.970756	-0.330382	-0.481619	-0.219339	0.511395	-0.475363	0.534285	0.330534	-0.495051	-0.574613	0.151421	0.0402523	-0.375026	0.464406	0.21393	-0.00552613	0.215875	0.321289	0.178698	0.432792	-0.120646	0.246254	-0.260486	-0.382429	0.0667005	-0.379338	-0.287222	0.850353	0.343433	-0.0495275	-0.323013	0.109242	-0.0471038	-0.279895	0.102624	-0.0519842	-0.0161884	0.936359	-1.06674	-0.239957	-0.150808	-0.409689	0.538299	0.0620899	-1.00117	-0.0430295	0.162021	0.405577	-0.361159	-0.619199	-0.206747	0.224538	0.121403	0.372713	0.399067	-0.304926	0.477108	-0.261239	0.327537	0.117294	-0.45295	-0.454579	0.657458
1	1942814	1942815	NA	ENSBTAG00000035175	NA	0.508577	0.620203	0.179224	0.457887	-0.029118	0.462558	-0.100955	0.380531	-1.10436	-0.474211	0.372069	-0.853634	0.21355	0.435063	-0.634277	-0.323568	-0.531108	-0.529691	-0.147074	1.28588	-0.098909	0.235206	-0.635007	-0.121144	0.0813909	0.45308	0.659044	0.209332	0.410124	-0.0909018	-0.0291304	-0.537287	-0.224373	0.524639	0.0503117	-0.525278	0.519754	-0.0911281	0.00726833	-0.41539	1.25572	0.536154	-0.90652	0.0421863	-0.803724	-0.696063	-0.573905	0.33402	0.3139	-0.370924	-0.43495	0.979433	-0.580645	-0.692705	0.558503	1.28164	0.0595723	0.0151871	0.370117	-0.582142	0.0966305	-0.772901	0.00226114	-0.0178707	-0.68561	0.0289441	-0.307207	-0.0414879	0.153067	-0.918705	0.805262	-0.97132	-0.950092	0.662769	-0.30185	-0.142933	0.416137	0.543064	0.64751	-0.210649	-0.134975	-0.936543	0.425331	-0.157196	-0.487748	-0.25417	0.376256	-0.11431	-0.862855	-0.454477	-0.935676	0.892496	0.220488	0.301604	0.0684862	0.168255	0.955182	1.63743	-0.388365	-0.253773	-0.716244	0.211625	0.596129	-0.159622	-0.601676	0.292023	0.620523	0.336079	0.510438	-0.448181	-0.692845	-0.358831	0.492572	0.27511	-0.531998	-0.173126	0.217064	0.437487	0.851276	-0.11645	0.357522	-0.303544	0.130201
1	1985067	1985068	NA	ENSBTAG00000008482	NA	0.10315	0.264865	0.0673158	-0.0592073	-0.0277401	0.398807	-0.121712	0.493098	-0.137014	-0.53701	0.266968	-0.28752	0.155586	-0.271165	0.0934357	-0.33278	-0.421123	-0.216023	-0.1831	-0.252453	-0.0508871	-0.00632732	-0.147417	-0.00979579	-0.0404801	0.691642	-0.145036	-0.192701	0.170584	-0.0697476	0.551996	0.591436	-0.035076	0.353305	-0.114624	0.0877276	-0.135935	0.255305	0.176935	0.0677406	-0.0206531	-0.715408	0.0452603	0.638887	-0.331308	0.0996229	-0.470129	-0.16428	-0.235768	-0.0672976	-0.0119604	-0.134609	-0.165772	-0.104492	0.392173	0.17953	0.0622692	0.273242	-0.100249	-0.205884	0.331584	-0.459554	0.169771	-0.299986	-0.287164	-0.261665	-0.275863	-0.0289715	0.128735	0.214564	0.374512	-0.102295	0.0503154	0.243065	0.23722	-0.034015	0.111175	-0.0185616	0.110554	-0.188725	-0.0994081	-0.139936	0.586988	-0.126637	-0.271639	-0.294647	-0.105126	0.140721	-0.11249	-0.157972	0.369267	-0.146549	-0.120147	-0.411161	-0.22606	-0.164884	-0.26525	0.325415	0.230605	0.144142	0.339129	0.147158	-0.0222398	0.472365	-0.257137	-0.103144	0.26461	0.0133421	0.0663023	-0.0326923	-0.296915	0.0549478	-0.372749	0.0136277	0.100645	-0.0918524	0.0864973	0.196627	0.0764269	0.246009	0.275416	-0.0371682	-0.267333
